COUNTRY,TB cases by brackets,Two BCG groups,3 BCG groups,income group brackets,average life span,median age,percentage of population above 65 (2018),% living in urban areas,population size (M),date of 1 sick per 1M,hospital beds per 1000 people,docs per 1000,GDP per capita,obese_M,obese_W,extreme_poverty_percentagy,Diabetes_%_adults,handwash%,Active_TB_%,Cardiovascular_per_100K_DR,smoking_M,smoking_W,cancer%,BCG administration years,Including minimal assumed years,HIV_prevalence_19-45_yo
algeria,4,2,3,2,78,29,6.36,72.9,44,March15,1.9,1.207,13913.8394,4.4,4.8,0.2,6.8,NA,0.04782263,85.9978464,40.9,6.2,2.2105828,70,70,0.03743021
austria,1,2,3,1,82,43.5,19,57.3,9,February 29,7.37,5.23,45436.6858,26.4,25.4,0,6.82,NA,0.006932,227.484904,38.3,30.5,2.11385502,38,38,0.24032894
Belgium,1,1,1,1,82,41.9,18.79,98.3,11.58,March 3,5.64,3.011,42658.5762,21.9,18.3,0.7,6.35,NA,0.00540656,145.182714,30.9,28.4,2.22831473,0,0,0.20267294
bosnia and herzegovina,3,2,3,2,78,43.1,16.47,52.3,3.3,March 9,3.5,1.886,11713.8948,20.3,21.2,0.5,9.85,NA,0.0105792,127.842197,30,16.3,1.76148324,70,70,0.00156815
brazil,3,2,2,2,77,33.5,8.92,87.6,213,March16,2.2,1.852,14103.4515,23.1,18.1,0.5,4.79,NA,0.00446183,133.982007,18.9,18.8,2.43386945,44,44,0.5969445
bulgaria,3,2,3,2,75,44.6,21.02,75.6,7,March11,7.45,3.999,18563.3066,26.9,28.6,0.2,4.28,NA,0.00569548,122.137185,24.7,20,2.79115552,69,69,0.03723171
canada,1,1,1,1,83,41.1,17.23,81.3,37.7,March 5,2.5,2.539,44017.5909,24.2,20.4,0,8.31,NA,0.0046297,156.13855,33.1,28.2,2.39847861,0,0,0.2868907
croatia,2,2,3,1,79,44.3,20.45,57.7,4,Feb28,5.53,3.126,22669.7965,24.6,22.8,1,7.17,NA,0.00547445,99.4034869,31.4,27.4,2.11985347,72,72,0.02018073
czech,1,2,3,1,80,43.2,19.42,73.5,10.7,March 5,6.63,3.677,32605.9063,24.1,24.5,0.7,5.59,NA,0.01169532,253.782076,39.9,34.3,2.15336561,57,57,0.02218523
denmark,1,2,3,1,81,42.3,19.81,88.2,5.8,March 3,2.5,3.655,46682.5147,19.3,32.2,0.2,9.59,NA,0.00765995,270.30772,21.1,0.8,0.86327175,40,40,0.12336805
dominican republic,4,2,3,2,75,28,7.08,84.5,10.84,March 14,1.6,1.494,14600.8606,27.4,37,0,12.71,NA,0.00918652,266.591265,40.7,26.9,2.20075525,NA,50,1.03307767
ecuador,4,2,3,2,78,27.9,7.16,63,17.57,March 13,1.5,1.665,10581.9364,25.9,26.2,0.5,6.74,NA,0.00292276,93.3198067,35.4,15.4,1.45240552,50,50,0.36973838
