"","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","TotalTests","Tests.1M.pop","Date","pop_size_M","start_date","cases_per_1M","deaths_per_1M","critical_per_1M"
"1","Algeria",1,"1",NA,NA,NA,NA,NA,"-1","-1","225",44,315,0.0227272727272727,NA,NA
"2","Algeria",1,NA,NA,NA,NA,NA,NA,"-1","-1","226",44,315,0.0227272727272727,NA,NA
"3","Algeria",1,NA,NA,NA,NA,NA,NA,"-1","-1","227",44,315,0.0227272727272727,NA,NA
"4","Algeria",1,NA,NA,NA,"1",NA,NA,"-1","-1","228",44,315,0.0227272727272727,NA,NA
"5","Algeria",1,NA,NA,NA,"1",NA,NA,"-1","-1","229",44,315,0.0227272727272727,NA,NA
"6","Algeria",2,"1",NA,NA,"2",NA,NA,"-1","-1","301",44,315,0.0454545454545455,NA,NA
"7","Algeria",3,NA,NA,NA,"3",NA,NA,"-1","-1","302",44,315,0.0681818181818182,NA,NA
"8","Algeria",8,"3",NA,NA,"8",NA,NA,"-1","-1","303",44,315,0.181818181818182,NA,NA
"9","Algeria",17,"9",NA,NA,"17",NA,NA,"-1","-1","304",44,315,0.386363636363636,NA,NA
"10","Algeria",17,NA,NA,NA,"17",NA,NA,"-1","-1","305",44,315,0.386363636363636,NA,NA
"11","Algeria",17,NA,NA,NA,"17",NA,NA,"-1","-1","306",44,315,0.386363636363636,NA,NA
"12","Algeria",19,"2",NA,NA,NA,"19",NA,"-1","-1","307",44,315,0.431818181818182,NA,NA
"13","Algeria",20,"1",NA,NA,NA,"20",NA,"-1","-1","308",44,315,0.454545454545455,NA,NA
"14","Algeria",20,NA,NA,NA,NA,"20",NA,"-1","-1","309",44,315,0.454545454545455,NA,NA
"15","Algeria",20,NA,NA,NA,NA,"20",NA,"-1","-1","310",44,315,0.454545454545455,NA,NA
"16","Algeria",20,NA,NA,NA,NA,"20",NA,"-1","-1","311",44,315,0.454545454545455,NA,NA
"17","Algeria",26,"6",2,"2","10","14",NA,"-1","-1","312",44,315,0.590909090909091,0.0454545454545455,NA
"18","Algeria",26,NA,2,NA,"10","14",NA,"-1","-1","313",44,315,0.590909090909091,0.0454545454545455,NA
"19","Algeria",37,"11",3,"1","10","24",NA,"-1","-1","314",44,315,0.840909090909091,0.0681818181818182,NA
"20","Algeria",48,"9",4,"1","10","34",NA,"-1","-1","315",44,315,1.09090909090909,0.0909090909090909,NA
"21","Algeria",60,"6",4,NA,"10","46",NA,"-1","-1","316",44,315,1.36363636363636,0.0909090909090909,NA
"22","Algeria",61,"1",5,"1","10","46",NA,"-1","-1","317",44,315,1.38636363636364,0.113636363636364,NA
"23","Algeria",75,"14",7,"2","32","36",NA,"-1","-1","319",44,315,1.70454545454545,0.159090909090909,NA
"24","Algeria",90,"15",9,"2","32","49",NA,"-1","-1","320",44,315,2.04545454545455,0.204545454545455,NA
"25","Algeria",94,"4",11,"2","32","51",NA,"-1","-1","321",44,315,2.13636363636364,0.25,NA
"26","Algeria",139,"45",15,"4","65","59",NA,"-1","-1","322",44,315,3.15909090909091,0.340909090909091,NA
"27","Algeria",201,"62",17,"2","65","119",NA,"-1","-1","323",44,315,4.56818181818182,0.386363636363636,NA
"28","Algeria",230,"29",17,NA,"65","148",NA,"-1","-1","324",44,315,5.22727272727273,0.386363636363636,NA
"29","Algeria",264,"34",19,"2","24","221",NA,"-1","-1","325",44,315,6,0.431818181818182,NA
"30","Algeria",302,"38",21,"2","65","216",NA,"-1","-1","326",44,315,6.86363636363636,0.477272727272727,NA
"31","Algeria",367,"65",25,"4","29","313",NA,"-1","-1","327",44,315,8.34090909090909,0.568181818181818,NA
"32","Algeria",409,"42",26,"1","29","354",NA,"24","-1","328",44,315,9.29545454545454,0.590909090909091,NA
"33","Algeria",454,"45",29,"3","31","394",NA,"24","-1","329",44,315,10.3181818181818,0.659090909090909,NA
"34","Algeria",511,"57",31,"2","31","449",NA,"24","-1","330",44,315,11.6136363636364,0.704545454545455,NA
"35","Algeria",584,"73",35,"4","37","512",NA,"24","-1","331",44,315,13.2727272727273,0.795454545454545,NA
"36","Algeria",716,"132",44,"9","46","626",NA,"24","-1","401",44,315,16.2727272727273,1,NA
"37","Algeria",847,"131",58,"14","61","728",NA,"-1","-1","402",44,315,19.25,1.31818181818182,NA
"38","Algeria",986,"139",86,"28","61","839",NA,"-1","-1","403",44,315,22.4090909090909,1.95454545454545,NA
"39","Algeria",1171,"185",105,"19","62","1004",NA,"3359","77","404",44,315,26.6136363636364,2.38636363636364,NA
"40","Algeria",1251,"80",130,"25","90","1031",NA,"3359","77","405",44,315,28.4318181818182,2.95454545454545,NA
"41","Algeria",1320,"69",152,"22","90","1078",46,"3359","77","406",44,315,30,3.45454545454545,1.04545454545455
"42","Algeria",1423,"103",173,"21","90","1160",46,"3359","77","407",44,315,32.3409090909091,3.93181818181818,1.04545454545455
"43","Algeria",1468,"45",193,"20","113","1162",46,"3359","77","408",44,315,33.3636363636364,4.38636363636364,1.04545454545455
"44","Algeria",1572,"104",205,"12","237","1130",46,"3359","77","409",44,315,35.7272727272727,4.65909090909091,1.04545454545455
"45","Algeria",1666,"94",235,"30","347","1084",46,"3359","77","410",44,315,37.8636363636364,5.34090909090909,1.04545454545455
"46","Algeria",1761,"95",256,"21","405","1100",46,"3359","77","411",44,315,40.0227272727273,5.81818181818182,1.04545454545455
"47","Austria",2,"2",NA,NA,NA,NA,NA,"-1","-1","225",9,229,0.222222222222222,NA,NA
"48","Austria",2,NA,NA,NA,NA,NA,NA,"-1","-1","226",9,229,0.222222222222222,NA,NA
"49","Austria",5,"3",NA,NA,NA,NA,NA,"-1","-1","227",9,229,0.555555555555556,NA,NA
"50","Austria",6,"1",NA,NA,"6",NA,NA,"-1","-1","228",9,229,0.666666666666667,NA,NA
"51","Austria",10,"3",NA,NA,"10",NA,NA,"-1","-1","229",9,229,1.11111111111111,NA,NA
"52","Austria",14,"4",NA,NA,"14",NA,NA,"-1","-1","301",9,229,1.55555555555556,NA,NA
"53","Austria",18,"4",NA,NA,"18",NA,NA,"-1","-1","302",9,229,2,NA,NA
"54","Austria",24,"6",NA,NA,"24",NA,NA,"-1","-1","303",9,229,2.66666666666667,NA,NA
"55","Austria",29,"5",NA,NA,"29",NA,NA,"-1","-1","304",9,229,3.22222222222222,NA,NA
