,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Date
0,China,81554,,3312,,76238,2004,466,57,2,-1,-1,0402
1,USA,215003,26473,5102,1049,8878,201023,5005,650,15,-1,-1,0402
2,Italy,110574,4782,13155,727,16847,80572,4035,1829,218,-1,-1,0402
3,Spain,104118,8195,9387,923,22647,72084,5872,2227,201,-1,-1,0402
4,Germany,77981,6173,931,156,18700,58350,3408,931,11,-1,-1,0402
5,France,56989,4861,4032,509,10935,42022,6017,873,62,-1,-1,0402
6,Iran,47593,2988,3036,138,15473,29084,3871,567,36,-1,-1,0402
7,UK,29474,4324,2352,563,135,26987,163,434,35,-1,-1,0402
8,Switzerland,17768,1163,488,55,2967,14313,348,2053,56,-1,-1,0402
9,Turkey,15679,2148,277,63,333,15069,847,186,3,-1,-1,0402
10,Belgium,13964,1189,828,123,2132,11004,1088,1205,71,-1,-1,0402
11,Netherlands,13614,1019,1173,134,250,12191,1053,795,68,-1,-1,0402
12,Austria,10711,531,146,18,1436,9129,215,1189,16,-1,-1,0402
13,S. Korea,9887,101,165,3,5567,4155,55,193,3,-1,-1,0402
14,Canada,9731,1119,114,13,1736,7881,120,258,3,-1,-1,0402
15,Portugal,8251,808,187,27,43,8021,230,809,18,-1,-1,0402
16,Brazil,6880,1163,242,41,127,6511,296,32,1,-1,-1,0402
17,Israel,6092,734,26,6,241,5825,95,704,3,-1,-1,0402
18,Australia,5048,285,23,3,345,4680,50,198,09,-1,-1,0402
19,Sweden,4947,512,239,59,103,4605,393,490,24,-1,-1,0402
20,Norway,4877,236,44,5,13,4820,105,900,8,-1,-1,0402
21,Czechia,3589,281,39,8,61,3489,70,335,4,-1,-1,0402
22,Ireland,3447,212,85,14,5,3357,103,698,17,-1,-1,0402
23,Denmark,3107,247,104,14,894,2109,145,536,18,-1,-1,0402
24,Chile,3031,293,16,4,234,2781,31,159,08,-1,-1,0402
25,Malaysia,2908,142,45,2,645,2218,102,90,1,-1,-1,0402
26,Russia,2777,440,24,7,190,2563,8,19,02,-1,-1,0402
27,Ecuador,2758,456,98,19,58,2602,100,156,6,-1,-1,0402
28,Poland,2554,243,43,10,56,2455,50,67,1,-1,-1,0402
29,Romania,2460,215,92,10,252,2116,57,128,5,-1,-1,0402
30,Japan,2384,206,57,,472,1855,69,19,05,-1,-1,0402
31,Luxembourg,2319,141,29,6,80,2210,31,3705,46,-1,-1,0402
32,Philippines,2311,227,96,8,50,2165,1,21,09,-1,-1,0402
33,Pakistan,2118,180,27,1,94,1997,12,10,01,-1,-1,0402
34,India,1998,601,58,23,148,1792,,1,004,-1,-1,0402
35,Thailand,1771,120,12,2,505,1254,23,25,02,-1,-1,0402
36,Saudi Arabia,1720,157,16,6,264,1440,31,49,05,-1,-1,0402
37,Indonesia,1677,149,157,21,103,1417,,6,06,-1,-1,0402
38,Finland,1446,28,17,,10,1419,62,261,3,-1,-1,0402
39,Greece,1415,101,51,2,52,1312,90,136,5,-1,-1,0402
40,South Africa,1380,27,5,,50,1325,7,23,008,-1,-1,0402
41,Peru,1323,258,38,8,394,891,49,40,1,-1,-1,0402
42,Panama,1317,136,32,2,9,1276,50,305,7,-1,-1,0402
43,Dominican Republic,1284,175,57,6,9,1218,,118,5,-1,-1,0402
44,Iceland,1220,85,2,,236,982,12,3575,6,-1,-1,0402
45,Mexico,1215,121,29,1,35,1151,1,9,02,-1,-1,0402
46,Argentina,1133,79,32,5,248,853,,25,07,-1,-1,0402
47,Colombia,1065,159,17,1,39,1009,47,21,03,-1,-1,0402
48,Serbia,1060,160,28,5,42,990,62,121,3,-1,-1,0402
49,Singapore,1000,74,3,,245,752,24,171,05,-1,-1,0402
50,Croatia,963,96,6,,73,884,34,235,1,-1,-1,0402
51,Algeria,847,131,58,14,61,728,,19,1,-1,-1,0402
52,Slovenia,841,39,15,,10,816,31,405,7,-1,-1,0402
53,Qatar,835,54,2,,71,762,37,290,07,-1,-1,0402
54,UAE,814,150,8,2,61,745,2,82,08,-1,-1,0402
55,Ukraine,794,149,20,3,13,761,,18,05,-1,-1,0402
56,Egypt,779,69,52,6,179,548,,8,05,-1,-1,0402
57,Estonia,779,34,5,1,33,741,15,587,4,-1,-1,0402
58,Hong Kong,766,51,4,,147,615,5,102,05,-1,-1,0402
59,Iraq,728,34,52,2,182,494,,18,1,-1,-1,0402
60,Diamond Princess,712,,11,,603,98,15,,,-1,-1,0402
61,New Zealand,708,61,1,,83,624,2,147,02,-1,-1,0402
62,Morocco,654,37,39,3,29,586,1,18,1,-1,-1,0402
63,Lithuania,581,44,8,,7,566,11,213,3,-1,-1,0402
64,Armenia,571,39,4,1,31,536,30,193,1,-1,-1,0402
65,Bahrain,569,2,4,,337,228,3,334,2,-1,-1,0402
66,Hungary,525,33,20,4,40,465,17,54,2,-1,-1,0402
67,Lebanon,479,16,14,2,43,422,5,70,2,-1,-1,0402
68,Bosnia and Herzegovina,459,39,13,,19,427,1,140,4,-1,-1,0402
69,Latvia,446,48,,,1,445,3,236,,-1,-1,0402
70,Tunisia,423,29,12,2,5,406,10,36,1,-1,-1,0402
71,Moldova,423,70,5,1,23,395,44,105,1,-1,-1,0402
72,Bulgaria,422,23,10,2,20,392,18,61,1,-1,-1,0402
73,Slovakia,400,37,1,1,3,396,1,73,02,-1,-1,0402
74,Andorra,390,14,14,2,10,366,12,5048,181,-1,-1,0402
75,Kazakhstan,380,37,3,1,26,351,6,20,02,-1,-1,0402
76,Costa Rica,375,28,2,,4,369,9,74,04,-1,-1,0402
77,Azerbaijan,359,61,5,,26,328,7,35,05,-1,-1,0402
78,North Macedonia,354,25,11,2,17,326,4,170,5,-1,-1,0402
79,Uruguay,350,12,2,1,62,286,15,101,06,-1,-1,0402
80,Taiwan,329,7,5,,45,279,,14,02,-1,-1,0402
81,Cyprus,320,58,9,1,28,283,11,265,7,-1,-1,0402
82,Kuwait,317,28,,,80,237,14,74,,-1,-1,0402
83,Burkina Faso,282,21,16,2,46,220,,13,08,-1,-1,0402
84,Réunion,281,34,,,40,241,3,314,,-1,-1,0402
85,Jordan,278,4,5,,36,237,5,27,05,-1,-1,0402
86,Albania,259,16,15,,67,177,7,90,5,-1,-1,0402
87,Afghanistan,237,63,4,,5,228,,6,01,-1,-1,0402
88,San Marino,236,,28,2,13,195,16,6955,825,-1,-1,0402
89,Cameroon,233,40,6,,10,217,,9,02,-1,-1,0402
90,Vietnam,218,6,,,63,155,3,2,,-1,-1,0402
91,Cuba,212,26,6,,12,194,3,19,05,-1,-1,0402
92,Oman,210,18,1,,34,175,3,41,02,-1,-1,0402
93,Ghana,195,34,5,,31,159,1,6,02,-1,-1,0402
94,Ivory Coast,190,11,1,,9,180,,7,004,-1,-1,0402
95,Senegal,190,15,1,1,45,144,,11,006,-1,-1,0402
96,Malta,188,19,,,2,186,2,426,,-1,-1,0402
97,Uzbekistan,181,9,2,,12,167,8,5,006,-1,-1,0402
98,Nigeria,174,39,2,,9,163,,08,001,-1,-1,0402
99,Faeroe Islands,173,4,,,75,98,1,3541,,-1,-1,0402
100,Honduras,172,31,10,3,3,159,4,17,1,-1,-1,0402
101,Channel Islands,172,31,3,,,169,,989,17,-1,-1,0402
102,Belarus,163,11,2,1,53,108,2,17,02,-1,-1,0402
103,Mauritius,161,18,6,1,,155,1,127,5,-1,-1,0402
104,Sri Lanka,146,3,3,1,21,122,5,7,01,-1,-1,0402
